tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000460,short,The Pioneers,The Pioneers,0,1903,\N,15,"Short,Western",6.6,17
tt0000464,short,Rip Van Winkle,Rip Van Winkle,0,1903,\N,4,"Comedy,Short",4.7,434
tt0000465,short,The Kingdom of the Fairies,Le royaume des fées,0,1903,\N,16,"Adventure,Fantasy,Short",7.3,1535
tt0000469,short,The Sick Kitten,The Sick Kitten,0,1903,\N,1,"Comedy,Family,Short",5.8,1030
tt0000471,short,Uncle Tom's Cabin,Uncle Tom's Cabin,0,1903,\N,13,"Drama,Short",5.1,483
tt0000472,short,Uncle Tom's Cabin,Uncle Tom's Cabin,0,1903,\N,\N,"Drama,Short",6.6,23
tt0000479,short,Rum vs. Cherries,Buy Your Own Cherries,0,1904,\N,4,"Drama,Short",5.3,382
tt0000480,short,Le coffre enchanté,Le coffre enchanté,0,1904,\N,3,"Fantasy,Short",5.1,194
tt0000487,short,The Great Train Robbery,The Great Train Robbery,0,1904,\N,8,"Short,Western",6.9,507
tt0000488,short,The Land Beyond the Sunset,The Land Beyond the Sunset,0,1912,\N,14,"Drama,Fantasy,Short",6.9,791
tt0000491,short,Opening the Williamsburg Bridge,Opening the Williamsburg Bridge,0,1904,\N,1,"News,Short",3.9,65
tt0000492,short,Personal,Personal,0,1904,\N,6,"Comedy,Short",4.8,121
tt0000495,short,The Pearl Fisher,Le pêcheur de perles,0,1907,\N,12,"Fantasy,Short",6,110
tt0000496,short,Railroad Smashup,Railroad Smashup,0,1904,\N,\N,"Action,Short",6,64
tt0000497,short,A Railway Tragedy,A Railway Tragedy,0,1904,\N,5,"Crime,Short",5.2,79
tt0000498,short,Rescued by Rover,Rescued by Rover,0,1905,\N,7,"Crime,Drama,Family",6.7,1170
tt0000499,short,The Impossible Voyage,Le voyage à travers l'impossible,0,1904,\N,24,"Action,Adventure,Family",7.5,3547
tt0000501,short,Adventures of Sherlock Holmes,Adventures of Sherlock Holmes,0,1905,\N,\N,"Crime,Drama,Mystery",4.8,51
tt0000502,movie,Bohemios,Bohemios,0,1905,\N,100,\N,4.5,14
tt0000505,short,The Wig Chase,La course à la perruque,0,1906,\N,\N,"Comedy,Short",6.7,26
tt0000506,short,The Effects of Too Much Scotch,"D.T.'s, or the Effect of Drink",0,1905,\N,\N,"Drama,Short",5.8,9
tt0000507,short,Departure of Peary and the Roosevelt from New York,Departure of Peary and the Roosevelt from New York,0,1905,\N,4,"News,Short",3.8,57
tt0000509,short,The Inexperienced Chauffeur,Les débuts d'un chauffeur,0,1906,\N,3,"Comedy,Short",6,44
tt0000511,short,Esmeralda,Esmeralda,0,1905,\N,10,"Drama,Short",6.6,43
